조회연도,대학명,대학코드,문서종류,다운로드링크
2027,"경운대학교[본교]","0000244","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000245581&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000244&searchSyr=2027"
2027,"경인교육대학교[본교]","0000256","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257264&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000256&searchSyr=2027"
2027,"경일대학교[본교]","0000064","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255226&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000064&searchSyr=2027"
2027,"경희대학교[본교]","0000066","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000245976&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000066&searchSyr=2027"
2027,"계명대학교[본교]","0000068","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243040&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000068&searchSyr=2027"
2027,"고려대학교(세종)[분교]","0000070","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257700&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000070&searchSyr=2027"
2027,"고려대학교[본교]","0000069","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256509&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000069&searchSyr=2027"
2027,"고신대학교[본교]","0000071","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243095&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000071&searchSyr=2027"
2027,"공주교육대학교[본교]","0000251","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256830&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000251&searchSyr=2027"
2027,"광신대학교[본교]","0000073","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000237435&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000073&searchSyr=2027"
2027,"광운대학교[본교]","0000074","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000246873&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000074&searchSyr=2027"
2027,"광주가톨릭대학교[본교]","0000075","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256258&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000075&searchSyr=2027"
2027,"광주교육대학교[본교]","0000252","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257182&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000252&searchSyr=2027"
2027,"광주대학교[본교]","0000231","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000247025&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000231&searchSyr=2027"
2027,"광주여자대학교[본교]","0000076","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000247286&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000076&searchSyr=2027"
2027,"국립강릉원주대학교[본교]","0000001","수시 모집요강","미등록"
2027,"국립강릉원주대학교[제2캠퍼스]","0000002","수시 모집요강","미등록"
2027,"국립경국대학교[본교]","0000021","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257807&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000021&searchSyr=2027"
2027,"국립공주대학교[본교]","0000008","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256748&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000008&searchSyr=2027"
2027,"국립군산대학교[본교]","0000009","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242949&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000009&searchSyr=2027"
2027,"국립금오공과대학교[본교]","0000010","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256927&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000010&searchSyr=2027"
2027,"국립목포대학교[본교]","0000011","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000244173&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000011&searchSyr=2027"
2027,"국립목포해양대학교[본교]","0000012","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242838&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000012&searchSyr=2027"
2027,"국립부경대학교[본교]","0000013","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243308&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000013&searchSyr=2027"
2027,"국립순천대학교[본교]","0000020","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243016&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000020&searchSyr=2027"
2027,"국립창원대학교[본교]","0000028","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000244252&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000028&searchSyr=2027"
2027,"국립창원대학교[제2캠퍼스]","0003297","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257385&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0003297&searchSyr=2027"
2027,"국립창원대학교[제3캠퍼스]","0003298","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256338&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0003298&searchSyr=2027"
2027,"국립한국교통대학교[본교]","0000034","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243055&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000034&searchSyr=2027"
2027,"국립한국해양대학교[본교]","0000033","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255136&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000033&searchSyr=2027"
2027,"국립한밭대학교[본교]","0000039","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257177&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000039&searchSyr=2027"
2027,"국민대학교[본교]","0000078","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243009&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000078&searchSyr=2027"
2027,"극동대학교[본교]","0000080","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000252398&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000080&searchSyr=2027"
2027,"금강대학교[본교]","0000224","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257878&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000224&searchSyr=2027"
2027,"김천대학교[본교]","0000241","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255155&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000241&searchSyr=2027"
2027,"나사렛대학교[본교]","0000081","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000254716&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000081&searchSyr=2027"
2027,"남부대학교[본교]","0000216","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257179&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000216&searchSyr=2027"
2027,"남서울대학교[본교]","0000245","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257687&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000245&searchSyr=2027"
2027,"단국대학교[본교]","0000082","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242997&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000082&searchSyr=2027"
2027,"단국대학교[제2캠퍼스]","0002726","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243002&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0002726&searchSyr=2027"
2027,"대구가톨릭대학교[본교]","0000088","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243207&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000088&searchSyr=2027"
2027,"대구교육대학교[본교]","0000253","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257979&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000253&searchSyr=2027"
2027,"대구대학교[본교]","0000084","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242852&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000084&searchSyr=2027"
2027,"대구예술대학교[본교]","0000087","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256702&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000087&searchSyr=2027"
2027,"대구한의대학교[본교]","0000061","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257996&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000061&searchSyr=2027"
2027,"대신대학교[본교]","0000093","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243052&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000093&searchSyr=2027"
2027,"대전가톨릭대학교[본교]","0000094","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256547&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000094&searchSyr=2027"
2027,"대전대학교[본교]","0000095","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257691&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000095&searchSyr=2027"
2027,"대전신학대학교[본교]","0000238","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256612&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000238&searchSyr=2027"
2027,"대진대학교[본교]","0000097","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242970&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000097&searchSyr=2027"
2027,"덕성여자대학교[본교]","0000099","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256783&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000099&searchSyr=2027"
2027,"동국대학교(WISE)[분교]","0000101","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242986&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000101&searchSyr=2027"
2027,"동국대학교[본교]","0000100","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243064&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000100&searchSyr=2027"
2027,"동덕여자대학교[본교]","0000102","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256526&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000102&searchSyr=2027"
2027,"동명대학교[본교]","0000235","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255198&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000235&searchSyr=2027"
2027,"동서대학교[본교]","0000103","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000244507&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000103&searchSyr=2027"
2027,"동신대학교[본교]","0000104","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257694&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000104&searchSyr=2027"
2027,"동아대학교[본교]","0000105","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242892&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000105&searchSyr=2027"
2027,"동양대학교[본교]","0000106","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000244728&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000106&searchSyr=2027"
2027,"동의대학교[본교]","0000107","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000252168&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000107&searchSyr=2027"
2027,"루터대학교[본교]","0000108","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000251956&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000108&searchSyr=2027"
2027,"명지대학교[본교]","0000109","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243027&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000109&searchSyr=2027"
2027,"명지대학교[제2캠퍼스]","0000111","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243030&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000111&searchSyr=2027"
2027,"목원대학교[본교]","0000112","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000239967&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000112&searchSyr=2027"
2027,"목포가톨릭대학교[본교]","0000221","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256894&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000221&searchSyr=2027"
2027,"배재대학교[본교]","0000113","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243046&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000113&searchSyr=2027"
2027,"백석대학교[본교]","0000178","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000244401&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000178&searchSyr=2027"
2027,"부산가톨릭대학교[본교]","0000114","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000245025&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000114&searchSyr=2027"
2027,"부산교육대학교[본교]","0000254","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256843&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000254&searchSyr=2027"
2027,"부산대학교[본교]","0000014","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000257099&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000014&searchSyr=2027"
2027,"부산외국어대학교[본교]","0000115","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000253081&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000115&searchSyr=2027"
2027,"부산장신대학교[본교]","0000222","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243067&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000222&searchSyr=2027"
2027,"삼육대학교[본교]","0000116","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255051&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000116&searchSyr=2027"
2027,"상명대학교[본교]","0000117","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255108&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000117&searchSyr=2027"
2027,"상명대학교[제2캠퍼스]","0002959","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242868&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0002959&searchSyr=2027"
2027,"상지대학교[본교]","0000119","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256680&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000119&searchSyr=2027"
2027,"서강대학교[본교]","0000120","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255100&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000120&searchSyr=2027"
2027,"서경대학교[본교]","0000121","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242903&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000121&searchSyr=2027"
2027,"서울과학기술대학교[본교]","0000036","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243124&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000036&searchSyr=2027"
2027,"서울교육대학교[본교]","0000255","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256817&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000255&searchSyr=2027"
2027,"서울기독대학교[본교]","0000098","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242984&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000098&searchSyr=2027"
2027,"서울대학교[본교]","0000019","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243332&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000019&searchSyr=2027"
2027,"서울시립대학교[본교]","0000040","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243005&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000040&searchSyr=2027"
2027,"서울신학대학교[본교]","0000125","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000243049&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000125&searchSyr=2027"
2027,"서울여자대학교[본교]","0000126","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255229&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000126&searchSyr=2027"
2027,"서울장신대학교[본교]","0000127","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255016&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000127&searchSyr=2027"
2027,"서울한영대학교[본교]","0000205","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000256911&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000205&searchSyr=2027"
2027,"서원대학교[본교]","0000128","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000242932&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000128&searchSyr=2027"
2027,"선문대학교[본교]","0000129","수시 모집요강","https://www.adiga.kr/cmm/com/file/fileDown.do?fileId=00000000000000255105&fileSn=1&menuId=PCUVTINF2000&downLogYn=Y&unvCd=0000129&searchSyr=2027"
