대학ID,대학명,지역,설립구분,캠퍼스,홈페이지
191,한양대학교,서울,사립,서울캠퍼스,https://www.hanyang.ac.kr
192,한양대학교,경기,사립,ERICA캠퍼스,https://www.hanyang.ac.kr/erica
193,한일장신대학교,전북,사립,,https://www.hanil.ac.kr
194,협성대학교,경기,사립,,https://www.uhs.ac.kr
195,호남대학교,광주,사립,,https://www.honam.ac.kr
196,호남신학대학교,광주,사립,,https://www.htus.ac.kr
197,호서대학교,충남,사립,,https://www.hoseo.ac.kr
198,호원대학교,전북,사립,,https://www.howon.ac.kr
199,홍익대학교,서울,사립,서울캠퍼스,https://www.hongik.ac.kr
200,홍익대학교,세종,사립,세종캠퍼스,https://sejong.hongik.ac.kr
201,화성의과학대학교,경기,사립,,https://www.hsmu.ac.kr
